step	MLUPS_solv
1000	228.6600819
2000	233.3250419
3000	231.8589133
4000	229.5586764
5000	230.4793362
6000	230.5837626
7000	236.0140827
8000	223.2472464
9000	229.4316767
10000	233.8916094
11000	232.2005522
12000	240.7156215
13000	224.8358776
14000	226.2372643
15000	232.3881161
16000	230.9770314
17000	236.5003191
18000	226.9184991
19000	230.1287847
20000	231.6051966
21000	224.4394416
22000	227.6005869
23000	234.1573505
24000	233.3130667
25000	230.6055657
26000	229.8647352
27000	232.7673321
28000	230.0007262
29000	233.0285351
30000	228.1872871
31000	229.059013
32000	224.3325122
33000	217.8572496
34000	222.5174329
35000	219.840492
36000	226.0311003
37000	237.9183593
38000	230.0915859
39000	233.1898443
40000	214.1046082
41000	216.3165761
42000	232.1112474
43000	219.0646804
44000	221.214714
45000	238.0210562
46000	235.8395092
47000	225.0207751
48000	217.1514055
49000	224.7008856
50000	225.2652141
51000	220.3460759
52000	224.1345673
53000	207.1243707
54000	212.8861528
55000	223.1408721
56000	226.9440468
57000	227.2733907
58000	213.825046
59000	215.561143
60000	217.3726445
61000	217.998589
62000	215.783518
63000	220.0230691
64000	217.7032546
