step	MLUPS_solv
1000	257.0177755
2000	254.2001921
3000	257.6761281
4000	256.2122334
5000	255.5575838
6000	252.4816345
7000	256.8673205
8000	257.9756295
9000	254.2381435
10000	256.7358238
11000	256.4869099
12000	256.0172397
13000	246.7082969
14000	252.551458
15000	253.3056226
16000	255.4499035
17000	251.7256071
18000	246.2534676
19000	194.7057736
20000	195.064359
21000	195.2857385
22000	194.8801711
23000	195.0644524
24000	195.1223477
25000	195.2228029
26000	195.2500895
27000	195.0017823
28000	195.1040615
29000	195.403543
30000	195.2452621
31000	194.8442164
32000	195.0538249
33000	195.0851558
34000	195.3287729
35000	195.2160188
36000	195.1605255
37000	195.286334
38000	195.390535
39000	195.2815364
40000	195.2502334
41000	195.2408636
42000	195.1863028
43000	195.19383
44000	194.9381837
45000	195.0623268
46000	195.0442754
47000	195.0917599
48000	195.0901171
49000	195.0736618
50000	195.4655705
51000	195.4028518
52000	195.1527364
53000	195.3541464
54000	195.2427517
55000	195.3166329
56000	195.0711972
57000	194.8953424
58000	195.0706491
59000	194.9966608
60000	194.8956716
61000	195.023604
62000	195.0433425
63000	195.0752976
64000	195.0027135
