theta_new(rad)	theta(rad)	delta3pSmoothed_Cf	delta3pSmoothed_Cf_smooth	delta2p_Cf	delta2p_Cf_smooth	delta3p_Cf	delta3p_Cf_smooth	delta4p_Cf	delta4p_Cf_smooth
-3.14159265359	0	8.11801e-08	-5.51236532531e-08	8.53095e-07	1.79985934629e-08	-1.3914e-07	1.37490850774e-07	-4.88867e-07	-2.0057715068e-07
-3.12907635359	-0.0125163	-0.00127379	-0.00182259829584	0.0303792	-0.0018532842146	-0.00170148	-0.00179501678718	-0.00138606	-0.00186533135185
-3.11656005359	-0.0250326	-0.00467278	-0.00364180753098	-0.0684852	-0.00370194387616	-0.00449772	-0.00358718484455	-0.00446693	-0.00372653781738
-3.10404375359	-0.0375489	-0.00381093	-0.00545436031428	0.0893092	-0.00554136348323	-0.00448513	-0.0053733841975	-0.00418844	-0.00557992558716
-3.09152745359	-0.0500652	-0.00934124	-0.00725695709955	-0.133191	-0.00736703548984	-0.00836178	-0.00715064078172	-0.00874637	-0.00742164827434
-3.07901115359	-0.0625815	-0.00635135	-0.0090463326047	0.137678	-0.00917458506771	-0.00703649	-0.00891599340041	-0.00729335	-0.00924793065707
-3.06649485359	-0.0750978	-0.0140453	-0.0108192668809	-0.180579	-0.0109598102569	-0.012494	-0.0106664984441	-0.0119791	-0.0110550909208
-3.05397855359	-0.0876141	-0.00902204	-0.0125725960826	0.163066	-0.0127187187255	-0.00996797	-0.012399234956	-0.0126541	-0.0128395616899
-3.04146265359	-0.10013	-0.0186344	-0.0143032228658	-0.18493	-0.0144475604324	-0.0172591	-0.0141113101037	-0.0101878	-0.0145979095774
-3.02894565359	-0.112647	-0.0117278	-0.0160081263474	0.16311	-0.0161428555757	-0.0128856	-0.0157998650994	-0.0330579	-0.0163268530016
-3.01642965359	-0.125163	-0.0207432	-0.0176843715573	-0.173344	-0.017801417314	-0.0221319	-0.0174620815954	0.0166563	-0.0180232780427
-3.00391365359	-0.137679	-0.017095	-0.0193291183209	0.136169	-0.0194203688587	-0.0131937	-0.0190951885584	-0.0767923	-0.0196842521382
-2.99139665359	-0.150196	-0.0219075	-0.020939629513	-0.160656	-0.0209971546627	-0.0289257	-0.0206964696053	0.0642989	-0.0213070354477
-2.97888065359	-0.162712	-0.0231887	-0.0225132786254	0.0562905	-0.0225295455539	-0.0142196	-0.0222632707618	-0.139659	-0.0228890897482
-2.96636465359	-0.175228	-0.0226075	-0.0240475565998	-0.0984132	-0.0240156377962	-0.0227906	-0.0237930085819	0.135068	-0.0244280847582
